Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultsScore,Breakdown,100-metres,long-jump,shot-put,high-jump,400-metres,110-metres-hurdles,discus-throw,pole-vault,javelin-throw,1500-metres,100-metres_wind,long-jump_wind,110-metres-hurdles_wind
249,8046,HunterVEITH,14JAN1995,USA,1,"Austin,TX(USA)",29MAR2018,1133, 10.72/+0.9 - 7.78/+0.9 - 13.47 - 2.10 - 48.66 / 14.77/+2.1 - 37.47 - 4.90 - 55.76 - 4:52.63 ,10.72,7.78,13.47,2.10,48.66,14.77,37.47,4.90,55.76,4:52.63,+0.9,+0.9,+2.1
250,8045,RojsPIZIKS,12FEB1971,LAT,2,Riga(LAT),16JUN1996,1133, 11.33/+3.0 - 7.21/+0.9 - 15.04 - 2.13 - 51.90 / 14.92/+1.7 - 46.42 - 4.60 - 62.52 - 4:33.07 ,11.33,7.21,15.04,2.13,51.90,14.92,46.42,4.60,62.52,4:33.07,+3.0,+0.9,+1.7
250,8045,ChristopherHALLMANN,06JUN1983,GER,1,Vaterstetten(GER),05SEP2004,1133, 10.65/+0.7 - 7.19/-0.1 - 12.86 - 1.91 - 47.87 / 14.53/+1.1 - 41.16 - 4.70 - 61.90 - 4:26.31 ,10.65,7.19,12.86,1.91,47.87,14.53,41.16,4.70,61.90,4:26.31,+0.7,-0.1,+1.1
252,8044,MateoSOSSAH,28APR1988,USA,2,"Fayetteville,AR(USA)",11JUN2009,1133, 11.31/+2.8 - 7.30/+4.0 - 13.63 - 2.08 - 49.19 / 14.62/+0.4 - 42.44 - 4.60 - 58.88 - 4:20.50 ,11.31,7.30,13.63,2.08,49.19,14.62,42.44,4.60,58.88,4:20.50,+2.8,+4.0,+0.4
253,8043,NikolayTISHCHENKO,04FEB1977,RUS,1,Krasnodar(RUS),29MAY2004,1133, 10.86/+2.1 - 7.61/0.0 - 14.50 - 1.94 - 49.91 / 14.40/+0.1 - 42.82 - 4.80 - 55.08 - 4:36.40 ,10.86,7.61,14.50,1.94,49.91,14.40,42.82,4.80,55.08,4:36.40,+2.1,0.0,+0.1
254,8042,AlbertoJUANTORENA,27JUN1977,CUB,1,LaHabana(CUB),22JUN2007,1133, 10.7h/ - 7.40/+1.0 - 13.35 - 2.11 - 49.3h / 14.8h/ - 45.18 - 4.60 - 59.30 - 4:38.6h ,10.7h,7.40,13.35,2.11,49.3h,14.8h,45.18,4.60,59.30,4:38.6h,,+1.0,
255,8039,ThomasTEBBICH,04FEB1975,AUT,7,Götzis(AUT),30MAY1999,1132, 11.09/-0.8 - 7.40/-2.5 - 14.45 - 1.97 - 49.82 / 14.97/-1.5 - 42.57 - 4.80 - 66.72 - 4:40.90 ,11.09,7.40,14.45,1.97,49.82,14.97,42.57,4.80,66.72,4:40.90,-0.8,-2.5,-1.5
256,8037,StephenMOORE,13AUG1975,USA,2,Aachen(GER),08AUG1999,1132, 10.61/+0.8 - 7.60/+3.6 - 12.57 - 2.13 - 48.27 / 14.56/-0.1 - 39.64 - 4.70 - 53.14 - 4:44.51 ,10.61,7.60,12.57,2.13,48.27,14.56,39.64,4.70,53.14,4:44.51,+0.8,+3.6,-0.1
257,8036,SimonSHIRLEY,03AUG1966,AUS,15,"OlympicStadium,Jamsil,Seoul(KOR)",29SEP1988,1132, 11.03/ - 7.45/ - 14.20 - 1.97 - 48.84 / 15.44/ - 41.68 - 4.70 - 64.00 - 4:27.48 ,11.03,7.45,14.20,1.97,48.84,15.44,41.68,4.70,64.00,4:27.48,,,
257,8036,JörgGOEDICKE,25JUN1974,GER,2,"Bernhausen,Filderstadt(GER)",22JUL2001,1132, 11.20/+0.1 - 7.64/+0.3 - 14.42 - 2.00 - 50.56 / 14.72/-0.4 - 41.81 - 4.95 - 59.68 - 4:38.44 ,11.20,7.64,14.42,2.00,50.56,14.72,41.81,4.95,59.68,4:38.44,+0.1,+0.3,-0.4
257,8036,PavelANDREYEV,24NOV1978,UZB,1,Tashkent(UZB),21MAY2004,1132, 11.36/+0.6 - 6.98/-0.5 - 15.33 - 2.07 - 50.38 / 14.93/+0.4 - 45.69 - 4.80 - 61.10 - 4:32.56 ,11.36,6.98,15.33,2.07,50.38,14.93,45.69,4.80,61.10,4:32.56,+0.6,-0.5,+0.4
260,8033,KristjanROSENBERG,16MAY1994,EST,4,Lutsk(UKR),07JUL2019,1131, 10.95/-0.6 - 7.34/+3.2 - 13.27 - 2.16 - 49.06 / 14.91/+0.8 - 40.84 - 5.00 - 51.70 - 4:36.21 ,10.95,7.34,13.27,2.16,49.06,14.91,40.84,5.00,51.70,4:36.21,-0.6,+3.2,+0.8
261,8032,DariusDRAUDVILA,29MAR1983,LTU,6,"EstadioOlímpico,Barcelona(ESP)",29JUL2010,1131, 10.71/-0.6 - 7.52/+1.9 - 15.08 - 2.04 - 48.43 / 14.29/-0.2 - 44.53 - 4.55 - 52.59 - 5:02.17 ,10.71,7.52,15.08,2.04,48.43,14.29,44.53,4.55,52.59,5:02.17,-0.6,+1.9,-0.2
261,8032,DennisHUTTERER,04MAY1996,GER,1,Darmstadt(GER),13MAY2018,1131, 11.10/0.0 - 7.27/0.0 - 14.18 - 2.08 - 50.53 / 15.10/-0.9 - 48.41 - 4.90 - 53.26 - 4:34.13 ,11.10,7.27,14.18,2.08,50.53,15.10,48.41,4.90,53.26,4:34.13,0.0,0.0,-0.9
263,8031,RikTAAM,17JAN1997,NED,1,Emmeloord(NED),06SEP2020,1131, 10.80/+2.4 - 7.07/+0.6 - 14.52 - 1.97 - 48.92 / 14.62/+0.3 - 42.23 - 4.70 - 57.53 - 4:26.53 ,10.80,7.07,14.52,1.97,48.92,14.62,42.23,4.70,57.53,4:26.53,+2.4,+0.6,+0.3
264,8025,RudyBOURGUIGNON,16JUL1979,FRA,6,"StadePierrePaulBernard,Talence(FRA)",18SEP2005,1130, 10.91/+3.4 - 7.28/+2.7 - 14.30 - 1.89 - 50.31 / 15.03/+1.7 - 42.55 - 5.20 - 59.70 - 4:30.19 ,10.91,7.28,14.30,1.89,50.31,15.03,42.55,5.20,59.70,4:30.19,+3.4,+2.7,+1.7
264,8025,JangyADDY,02MAR1985,USA,6,"Eugene,OR(USA)",30JUN2008,1130, 10.77/-0.4 - 7.20/-1.2 - 15.63 - 1.96 - 48.61 / 13.73/+1.9 - 47.08 - 4.40 - 57.10 - 5:05.07 ,10.77,7.20,15.63,1.96,48.61,13.73,47.08,4.40,57.10,5:05.07,-0.4,-1.2,+1.9
266,8023,HamdiDHOUIBI,24JAN1982,TUN,11,"OlympicStadium,Helsinki(FIN)",10AUG2005,1130, 10.67/+3.2 - 7.43/+0.5 - 12.85 - 1.94 - 47.04 / 14.56/-1.9 - 41.17 - 4.80 - 52.83 - 4:31.24 ,10.67,7.43,12.85,1.94,47.04,14.56,41.17,4.80,52.83,4:31.24,+3.2,+0.5,-1.9
